threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,brier_score,tn,fp,fn,tp
0.2,0.8019143091691968,0.7797368603762053,0.9627283441367118,0.5551779797808173,0.7042405302009807,0.5999271137026239,0.18042774991954813,1696,5236,253,6535
0.21000000000000002,0.8019143091691968,0.7797368603762053,0.9575721862109605,0.5601516718372975,0.7068290561113527,0.606997084548105,0.18042774991954813,1828,5104,288,6500
0.22000000000000003,0.8019143091691968,0.7797368603762053,0.9507955215085445,0.566438476391083,0.7099329006709932,0.615597667638484,0.18042774991954813,1992,4940,334,6454
0.23000000000000004,0.8019143091691968,0.7797368603762053,0.9418090748379493,0.5742387496631636,0.7134646504101334,0.625728862973761,0.18042774991954813,2192,4740,395,6393
0.24000000000000005,0.8019143091691968,0.7797368603762053,0.9342958161461402,0.5827972799117809,0.7178268251273344,0.6365889212827989,0.18042774991954813,2392,4540,446,6342
0.25000000000000006,0.8019143091691968,0.7797368603762053,0.9239835002946376,0.5911961542086908,0.7210438581364603,0.6462827988338192,0.18042774991954813,2595,4337,516,6272
0.26000000000000006,0.8019143091691968,0.7797368603762053,0.9139658220388922,0.5988416988416988,0.7235829251224632,0.6545189504373178,0.18042774991954813,2776,4156,584,6204
0.2700000000000001,0.8019143091691968,0.7797368603762053,0.9045374189746611,0.6076801266825019,0.7269713473833768,0.6638483965014578,0.18042774991954813,2968,3964,648,6140
0.2800000000000001,0.8019143091691968,0.7797368603762053,0.895550972304066,0.6155949367088608,0.7296405209146012,0.6716472303206997,0.18042774991954813,3136,3796,709,6079
0.2900000000000001,0.8019143091691968,0.7797368603762053,0.8870064820271066,0.6234209981362601,0.7322145202480846,0.6790087463556851,0.18042774991954813,3295,3637,767,6021
0.3000000000000001,0.8019143091691968,0.7797368603762053,0.8784619917501473,0.6312056737588653,0.7345857714813674,0.685932944606414,0.18042774991954813,3448,3484,825,5963
0.3100000000000001,0.8019143091691968,0.7797368603762053,0.8716853270477313,0.6400908697533535,0.7381487025948104,0.6940233236151604,0.18042774991954813,3605,3327,871,5917
0.3200000000000001,0.8019143091691968,0.7797368603762053,0.8637301119622864,0.6459894226531512,0.7391578416540595,0.6983965014577259,0.18042774991954813,3719,3213,925,5863
0.3300000000000001,0.8019143091691968,0.7797368603762053,0.8562168532704774,0.6524472384373596,0.7405708460754332,0.7032069970845481,0.18042774991954813,3836,3096,976,5812
0.34000000000000014,0.8019143091691968,0.7797368603762053,0.8487035945786683,0.6585505258344765,0.7416323377960865,0.7074344023323615,0.18042774991954813,3945,2987,1027,5761
0.35000000000000014,0.8019143091691968,0.7797368603762053,0.8413376546847378,0.6640697674418604,0.7422667013257084,0.710932944606414,0.18042774991954813,4043,2889,1077,5711
0.36000000000000015,0.8019143091691968,0.7797368603762053,0.8307307012374779,0.6697149643705463,0.7415833771699105,0.7135568513119533,0.18042774991954813,4151,2781,1149,5639
0.37000000000000016,0.8019143091691968,0.7797368603762053,0.8195344725987036,0.6765170862215736,0.741189794150956,0.7168367346938775,0.18042774991954813,4272,2660,1225,5563
0.38000000000000017,0.8019143091691968,0.7797368603762053,0.8078962875662935,0.6828539409787076,0.7401309130170727,0.7193148688046648,0.18042774991954813,4385,2547,1304,5484
0.3900000000000002,0.8019143091691968,0.7797368603762053,0.796405421331762,0.6918351676478116,0.7404465141761403,0.7237609329446064,0.18042774991954813,4524,2408,1382,5406
0.4000000000000002,0.8019143091691968,0.7797368603762053,0.7866823806717738,0.6992274453319366,0.7403812824956673,0.7270408163265306,0.18042774991954813,4635,2297,1448,5340
0.4100000000000002,0.8019143091691968,0.7797368603762053,0.7787271655863288,0.7042366107114308,0.739611025605149,0.7287172011661808,0.18042774991954813,4712,2220,1502,5286
0.4200000000000002,0.8019143091691968,0.7797368603762053,0.7694460813199764,0.7109024091465904,0.7390166253979483,0.7311224489795919,0.18042774991954813,4808,2124,1565,5223
0.4300000000000002,0.8019143091691968,0.7797368603762053,0.7591337654684738,0.7162913539060328,0.7370905449864111,0.7320699708454811,0.18042774991954813,4891,2041,1635,5153
0.4400000000000002,0.8019143091691968,0.7797368603762053,0.7519151443724219,0.7216174183514774,0.7364548012408917,0.7337463556851312,0.18042774991954813,4963,1969,1684,5104
0.45000000000000023,0.8019143091691968,0.7797368603762053,0.7436652916912198,0.7264354583393294,0.7349494067118002,0.7346209912536443,0.18042774991954813,5031,1901,1740,5048
0.46000000000000024,0.8019143091691968,0.7797368603762053,0.735268120212139,0.7308537121101186,0.7330542703972975,0.7350583090379009,0.18042774991954813,5094,1838,1797,4991
0.47000000000000025,0.8019143091691968,0.7797368603762053,0.7255450795521509,0.7354039121994923,0.7304412309974045,0.7350583090379009,0.18042774991954813,5160,1772,1863,4925
0.48000000000000026,0.8019143091691968,0.7797368603762053,0.7162639952857984,0.7401430963616988,0.7280077861795313,0.735204081632653,0.18042774991954813,5225,1707,1926,4862
0.49000000000000027,0.8019143091691968,0.7797368603762053,0.7049204478491455,0.7442837144190387,0.7240674888401302,0.7341836734693877,0.18042774991954813,5288,1644,2003,4785
0.5000000000000002,0.8019143091691968,0.7797368603762053,0.6946081319976429,0.7486503651953001,0.720617453767385,0.7335276967930029,0.18042774991954813,5349,1583,2073,4715
0.5100000000000002,0.8019143091691968,0.7797368603762053,0.6850324101355333,0.754380272550292,0.718035824583076,0.7338192419825073,0.18042774991954813,5418,1514,2138,4650
0.5200000000000002,0.8019143091691968,0.7797368603762053,0.6735415439010017,0.759468438538206,0.7139287945034354,0.7329446064139942,0.18042774991954813,5484,1448,2216,4572
0.5300000000000002,0.8019143091691968,0.7797368603762053,0.6639658220388922,0.7649355057705364,0.7108832807570978,0.7327988338192419,0.18042774991954813,5547,1385,2281,4507
0.5400000000000003,0.8019143091691968,0.7797368603762053,0.6552740129640542,0.7706167706167706,0.70828025477707,0.7329446064139942,0.18042774991954813,5608,1324,2340,4448
0.5500000000000003,0.8019143091691968,0.7797368603762053,0.6449616971125516,0.7736349178300053,0.7034626817707078,0.7309766763848397,0.18042774991954813,5651,1281,2410,4378
0.5600000000000003,0.8019143091691968,0.7797368603762053,0.6358279316440778,0.7803290544205388,0.7007062261547203,0.731268221574344,0.18042774991954813,5717,1215,2472,4316
0.5700000000000003,0.8019143091691968,0.7797368603762053,0.6241897466116676,0.7856480623029853,0.6956735900172399,0.7298104956268222,0.18042774991954813,5776,1156,2551,4237
0.5800000000000003,0.8019143091691968,0.7797368603762053,0.6128461991750147,0.788775123246113,0.6897695241253523,0.7272594752186589,0.18042774991954813,5818,1114,2628,4160
0.5900000000000003,0.8019143091691968,0.7797368603762053,0.6051856216853271,0.7933565083043647,0.6866120675246532,0.7266763848396501,0.18042774991954813,5862,1070,2680,4108
0.6000000000000003,0.8019143091691968,0.7797368603762053,0.5945786682380672,0.7957413249211357,0.6806070826306914,0.7239067055393587,0.18042774991954813,5896,1036,2752,4036
0.6100000000000003,0.8019143091691968,0.7797368603762053,0.5847083087802003,0.7985915492957747,0.6751148154448036,0.7215743440233237,0.18042774991954813,5931,1001,2819,3969
0.6200000000000003,0.8019143091691968,0.7797368603762053,0.576900412492634,0.8036117381489842,0.671640511105394,0.7209183673469388,0.18042774991954813,5975,957,2872,3916
0.6300000000000003,0.8019143091691968,0.7797368603762053,0.567472009428403,0.8065326633165829,0.6662054652369422,0.7186588921282799,0.18042774991954813,6008,924,2936,3852
0.6400000000000003,0.8019143091691968,0.7797368603762053,0.5586328815556865,0.8112965340179717,0.6616646309544582,0.7173469387755103,0.18042774991954813,6050,882,2996,3792
0.6500000000000004,0.8019143091691968,0.7797368603762053,0.5521508544490277,0.8128388635870744,0.6576015439950873,0.7155247813411079,0.18042774991954813,6069,863,3040,3748
0.6600000000000004,0.8019143091691968,0.7797368603762053,0.5465527401296405,0.8161020677518698,0.6546673725074995,0.7147230320699709,0.18042774991954813,6096,836,3078,3710
0.6700000000000004,0.8019143091691968,0.7797368603762053,0.5416912197996464,0.8194784934254513,0.6522394678492239,0.7142128279883382,0.18042774991954813,6122,810,3111,3677
0.6800000000000004,0.8019143091691968,0.7797368603762053,0.5359457866823807,0.8214043802212689,0.6486582865293751,0.7127551020408164,0.18042774991954813,6141,791,3150,3638
0.6900000000000004,0.8019143091691968,0.7797368603762053,0.5310842663523866,0.8232473167389815,0.6456523685860124,0.7115889212827988,0.18042774991954813,6158,774,3183,3605
0.7000000000000004,0.8019143091691968,0.7797368603762053,0.5247495580436063,0.8253012048192772,0.6415706051873199,0.7099125364431487,0.18042774991954813,6178,754,3226,3562
