model,fit_seconds,threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,brier_score,tn,fp,fn,tp
CatBoost (базовый),25.107392200035974,0.5,0.8017306175896436,0.7789406875047754,0.6951974071891573,0.7495235069885642,0.7213390400489147,0.7342565597667638,0.18048404857364514,5355,1577,2069,4719
Случайный лес,0.9612553999759257,0.5,0.7994524892201404,0.7789357356568332,0.6929876252209782,0.7486869329937927,0.7197613036493,0.7330174927113703,0.18166788765779424,5353,1579,2084,4704
Дерево решений,0.1553681999212131,0.5,0.7913860943465963,0.7639799437188335,0.7159693576900412,0.7294011706438541,0.7226228533194557,0.7280612244897959,0.18498461063217372,5129,1803,1928,4860
Логистическая регрессия,0.08290819998364896,0.5,0.790712438126955,0.7679572707774771,0.6688273423688863,0.752278376139188,0.7081026280901506,0.7271865889212829,0.18725145714098226,5437,1495,2248,4540
